Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases
Tropical,Zimbabwe,Zimbabwe,,240295.55
Tropical,Zambia,Zambia,,311495.69
Tropical,Yemen,Yemen,,11500.31
Subtropics,West Bank and Gaza,West Bank and Gaza,,613436.53
Tropical,Vietnam,Vietnam,,6794339.06
Tropical,Venezuela,Venezuela,,506381.61
Tropical,Vanuatu,Vanuatu,,3483.05
Temperate,Uzbekistan,Uzbekistan,,231317.95
Subtropics,US,US,,77788050.71
Subtropics,Uruguay,Uruguay,,802247.22
Tropical,United Kingdom,United Kingdom,Turks and Caicos Islands,5720.91
Tropical,United Kingdom,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",4.00
Tropical,United Kingdom,United Kingdom,Montserrat,321.40
Tropical,United Kingdom,United Kingdom,Cayman Islands,19308.62
Tropical,United Kingdom,United Kingdom,British Virgin Islands,6025.43
Tropical,United Kingdom,United Kingdom,Anguilla,2619.07
Subtropics,United Kingdom,United Kingdom,Gibraltar,15606.59
Subtropics,United Kingdom,United Kingdom,Bermuda,12026.67
Temperate,United Kingdom,United Kingdom,Jersey,40757.00
Temperate,United Kingdom,United Kingdom,Isle of Man,26486.62
Temperate,United Kingdom,United Kingdom,Guernsey,18247.04
Temperate,United Kingdom,United Kingdom,Falkland Islands (Malvinas),389.12
Temperate,United Kingdom,United Kingdom,Channel Islands,0.00
Temperate,United Kingdom,United Kingdom,,19639400.79
Tropical,United Arab Emirates,United Arab Emirates,,873831.76
Temperate,Ukraine,Ukraine,,4784164.58
Tropical,Uganda,Uganda,,162292.67
Subtropics,Turkey,Turkey,,13713740.17
Subtropics,Tunisia,Tunisia,,977552.12
Tropical,Trinidad and Tobago,Trinidad and Tobago,,132731.62
Tropical,Togo,Togo,,36525.63
Tropical,Timor-Leste,Timor-Leste,,22057.80
Tropical,Thailand,Thailand,,3407270.24
Tropical,Tanzania,Tanzania,,33575.91
Subtropics,Tajikistan,Tajikistan,,17733.44
Subtropics,Taiwan*,Taiwan*,,348482.47
Subtropics,Syria,Syria,,54265.72
Temperate,Switzerland,Switzerland,,2988157.34
Polar,Sweden,Sweden,,2308040.69
Tropical,Suriname,Suriname,,76061.03
Tropical,Sudan,Sudan,,59656.34
Tropical,Sri Lanka,Sri Lanka,,643395.14
Temperate,Spain,Spain,,10889159.21
Tropical,South Sudan,South Sudan,,17085.32
Subtropics,South Africa,South Africa,,3722258.99
Tropical,Somalia,Somalia,,26040.28
Tropical,Solomon Islands,Solomon Islands,,9710.66
Temperate,Slovenia,Slovenia,,876732.30
Temperate,Slovakia,Slovakia,,2159252.67
Tropical,Singapore,Singapore,,868724.88
Tropical,Sierra Leone,Sierra Leone,,7635.37
Tropical,Seychelles,Seychelles,,39229.14
Temperate,Serbia,Serbia,,1858824.90
Tropical,Senegal,Senegal,,84998.05
Subtropics,Saudi Arabia,Saudi Arabia,,723929.18
Tropical,Sao Tome and Principe,Sao Tome and Principe,,5811.63
Temperate,San Marino,San Marino,,14549.54
Tropical,Samoa,Samoa,,4175.37
Tropical,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,8109.12
Tropical,Saint Lucia,Saint Lucia,,22196.92
Tropical,Saint Kitts and Nevis,Saint Kitts and Nevis,,5391.89
Tropical,Rwanda,Rwanda,,128557.77
Polar,Russia,Russia,,15718123.61
Temperate,Romania,Romania,,2634882.12
Subtropics,Qatar,Qatar,,348585.47
Subtropics,Portugal,Portugal,,3463492.04
Temperate,Poland,Poland,,5550340.54
Tropical,Philippines,Philippines,,3579165.39
Tropical,Peru,Peru,,3364587.88
Tropical,Paraguay,Paraguay,,616382.91
Tropical,Papua New Guinea,Papua New Guinea,,41257.98
Tropical,Panama,Panama,,741916.80
Tropical,Palau,Palau,,3411.54
Subtropics,Pakistan,Pakistan,,1483503.61
Tropical,Oman,Oman,,370421.99
Polar,Norway,Norway,,1177232.11
Temperate,North Macedonia,North Macedonia,,291991.60
Tropical,Nigeria,Nigeria,,254181.76
Tropical,Niger,Niger,,8739.21
Tropical,Nicaragua,Nicaragua,,14106.94
Tropical,New Zealand,New Zealand,Cook Islands,2237.68
Temperate,New Zealand,New Zealand,,521963.08
Tropical,Netherlands,Netherlands,Sint Maarten,9462.94
Tropical,Netherlands,Netherlands,Curacao,39157.49
Tropical,Netherlands,Netherlands,"Bonaire, Sint Eustatius and Saba",8114.22
Tropical,Netherlands,Netherlands,Aruba,33640.13
Temperate,Netherlands,Netherlands,,6644181.67
Subtropics,Nepal,Nepal,,957227.63
Tropical,Namibia,Namibia,,158089.12
Tropical,Mozambique,Mozambique,,223181.27
Subtropics,Morocco,Morocco,,1140533.61
Temperate,Montenegro,Montenegro,,226512.88
Temperate,Mongolia,Mongolia,,880200.27
Temperate,Monaco,Monaco,,9961.94
Temperate,Moldova,Moldova,,486626.96
Tropical,Micronesia,Micronesia,,5.22
Subtropics,Mexico,Mexico,,5379136.58
Tropical,Mauritius,Mauritius,,171882.11
Tropical,Mauritania,Mauritania,,57565.48
Tropical,Marshall Islands,Marshall Islands,,10.30
Subtropics,Malta,Malta,,78709.52
Tropical,Mali,Mali,,29974.68
Tropical,Maldives,Maldives,,161186.94
Tropical,Malaysia,Malaysia,,3783133.20
Tropical,Malawi,Malawi,,84815.50
Tropical,Madagascar,Madagascar,,62047.73
Temperate,Luxembourg,Luxembourg,,197898.96
Temperate,Lithuania,Lithuania,,905558.55
Temperate,Liechtenstein,Liechtenstein,,13628.59
Subtropics,Libya,Libya,,476731.86
Tropical,Liberia,Liberia,,7327.22
Subtropics,Lesotho,Lesotho,,32614.07
Subtropics,Lebanon,Lebanon,,1027230.96
Temperate,Latvia,Latvia,,658885.25
Tropical,Laos,Laos,,167734.77
Temperate,Kyrgyzstan,Kyrgyzstan,,198761.04
Subtropics,Kuwait,Kuwait,,593628.23
Temperate,Kosovo,Kosovo,,216251.10
Subtropics,"Korea, South","Korea, South",,9546988.07
Tropical,Kiribati,Kiribati,,2355.64
Tropical,Kenya,Kenya,,321813.50
