Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases
Temperate,Kazakhstan,Kazakhstan,,1347176.43
Subtropics,Jordan,Jordan,,1540767.15
Subtropics,Japan,Japan,,5738685.58
Tropical,Jamaica,Jamaica,,126434.75
Temperate,Italy,Italy,,13675515.76
Subtropics,Israel,Israel,,3488776.04
Temperate,Ireland,Ireland,,1355852.33
Subtropics,Iraq,Iraq,,2276564.89
Subtropics,Iran,Iran,,6938100.99
Tropical,Indonesia,Indonesia,,5479388.55
Tropical,India,India,,41947820.19
Polar,Iceland,Iceland,,138940.29
Temperate,Hungary,Hungary,,1746267.74
Tropical,Honduras,Honduras,,410635.25
Tropical,Haiti,Haiti,,29913.38
Tropical,Guyana,Guyana,,60876.27
Tropical,Guinea-Bissau,Guinea-Bissau,,7898.70
Tropical,Guinea,Guinea,,36205.50
Tropical,Guatemala,Guatemala,,784522.25
Tropical,Grenada,Grenada,,13738.88
Subtropics,Greece,Greece,,2689512.37
Tropical,Ghana,Ghana,,158917.95
Temperate,Germany,Germany,,18132091.50
Temperate,Georgia,Georgia,,1491945.91
Tropical,Gambia,Gambia,,11816.89
Tropical,Gabon,Gabon,,47045.38
Tropical,France,France,Wallis and Futuna,454.00
Tropical,France,France,St Martin,9594.94
Tropical,France,France,Saint Barthelemy,3889.74
Tropical,France,France,Reunion,299751.71
Tropical,France,France,New Caledonia,47910.86
Tropical,France,France,Mayotte,35937.96
Tropical,France,France,Martinique,124263.66
Tropical,France,France,Guadeloupe,124155.43
Tropical,France,France,French Polynesia,64607.34
Tropical,France,France,French Guiana,76556.31
Temperate,France,France,Saint Pierre and Miquelon,1720.02
Temperate,France,France,,23077749.57
Polar,Finland,Finland,,774794.99
Tropical,Fiji,Fiji,,63314.68
Tropical,Ethiopia,Ethiopia,,466629.49
Subtropics,Eswatini,Eswatini,,69763.70
Temperate,Estonia,Estonia,,481839.79
Tropical,Equatorial Guinea,Equatorial Guinea,,15744.62
Tropical,El Salvador,El Salvador,,150892.53
Subtropics,Egypt,Egypt,,479289.84
Tropical,Ecuador,Ecuador,,806277.03
Tropical,Dominican Republic,Dominican Republic,,561406.32
Tropical,Dominica,Dominica,,11206.12
Tropical,Djibouti,Djibouti,,15429.97
Temperate,Denmark,Denmark,,2581705.47
Polar,Denmark,Denmark,Greenland,10946.47
Polar,Denmark,Denmark,Faroe Islands,29097.55
Temperate,Czechia,Czechia,,3534698.66
Subtropics,Cyprus,Cyprus,,374348.21
Tropical,Cuba,Cuba,,1070937.24
Temperate,Croatia,Croatia,,1037742.91
Tropical,Cote d'Ivoire,Cote d'Ivoire,,81039.58
Tropical,Costa Rica,Costa Rica,,792870.19
Tropical,Congo (Kinshasa),Congo (Kinshasa),,85915.75
Tropical,Congo (Brazzaville),Congo (Brazzaville),,23759.91
Tropical,Comoros,Comoros,,7981.98
Tropical,Colombia,Colombia,,5968575.89
Tropical,China,China,Macau,81.05
Tropical,China,China,Hong Kong,715551.47
Tropical,China,China,Hainan,229.60
Tropical,China,China,Guangdong,5679.86
Subtropics,China,China,Zhejiang,2611.34
Subtropics,China,China,Yunnan,2009.87
Subtropics,China,China,Tibet,1.00
Subtropics,China,China,Tianjin,1449.07
Subtropics,China,China,Sichuan,1740.40
Subtropics,China,China,Shanxi,332.19
Subtropics,China,China,Shanghai,23164.20
Subtropics,China,China,Shandong,1975.16
Subtropics,China,China,Shaanxi,3052.27
Subtropics,China,China,Qinghai,62.98
Subtropics,China,China,Ningxia,122.00
Subtropics,China,China,Jiangxi,1104.79
Subtropics,China,China,Jiangsu,1937.79
Subtropics,China,China,Hunan,1300.11
Subtropics,China,China,Hubei,68367.65
Subtropics,China,China,Henan,2757.59
Subtropics,China,China,Hebei,1748.36
Subtropics,China,China,Guizhou,171.10
Subtropics,China,China,Guangxi,1248.93
Subtropics,China,China,Gansu,538.31
Subtropics,China,China,Fujian,2290.94
Subtropics,China,China,Chongqing,660.80
Subtropics,China,China,Anhui,1034.58
Temperate,China,China,Xinjiang,997.34
Temperate,China,China,Unknown,242511.60
Temperate,China,China,Liaoning,1280.82
Temperate,China,China,Jilin,19719.73
Temperate,China,China,Inner Mongolia,1543.01
Temperate,China,China,Heilongjiang,2431.35
Temperate,China,China,Beijing,1909.84
Subtropics,Chile,Chile,,3054138.20
Tropical,Chad,Chad,,7199.89
Tropical,Central African Republic,Central African Republic,,14231.02
Tropical,Canada,Canada,Grand Princess,13.00
Tropical,Canada,Canada,Diamond Princess,0.00
Temperate,Canada,Canada,Saskatchewan,125977.13
Temperate,Canada,Canada,Repatriated Travellers,13.00
Temperate,Canada,Canada,Quebec,944430.55
Temperate,Canada,Canada,Prince Edward Island,21677.46
Temperate,Canada,Canada,Ontario,1153304.02
Temperate,Canada,Canada,Nova Scotia,59435.43
Temperate,Canada,Canada,Newfoundland and Labrador,31204.96
Temperate,Canada,Canada,New Brunswick,45159.45
Temperate,Canada,Canada,Manitoba,130163.57
Temperate,Canada,Canada,British Columbia,344380.61
Temperate,Canada,Canada,Alberta,525847.36
Polar,Canada,Canada,Yukon,3616.07
Polar,Canada,Canada,Nunavut,2804.15
Polar,Canada,Canada,Northwest Territories,9190.79
Tropical,Cameroon,Cameroon,,117824.86
Tropical,Cambodia,Cambodia,,130808.81
Tropical,Cabo Verde,Cabo Verde,,55264.81
Tropical,Burundi,Burundi,,38566.70
Tropical,Burma,Burma,,586027.68
Tropical,Burkina Faso,Burkina Faso,,20624.52
Temperate,Bulgaria,Bulgaria,,1067397.63
Tropical,Brunei,Brunei,,93025.71
Tropical,Brazil,Brazil,,28446414.45
Tropical,Botswana,Botswana,,277453.18
Temperate,Bosnia and Herzegovina,Bosnia and Herzegovina,,362427.29
Tropical,Bolivia,Bolivia,,868506.84
Subtropics,Bhutan,Bhutan,,29961.88
Tropical,Benin,Benin,,26649.64
Tropical,Belize,Belize,,54255.09
Temperate,Belgium,Belgium,,3582359.26
Temperate,Belarus,Belarus,,897199.15
Tropical,Barbados,Barbados,,58624.79
Subtropics,Bangladesh,Bangladesh,,1885022.16
Subtropics,Bahrain,Bahrain,,497537.58
Subtropics,Bahamas,Bahamas,,32833.17
Temperate,Azerbaijan,Azerbaijan,,751771.88
Temperate,Austria,Austria,,3150845.53
Tropical,Australia,Australia,Northern Territory,43959.20
Subtropics,Australia,Australia,Western Australia,229007.85
Subtropics,Australia,Australia,Victoria,1229788.58
Subtropics,Australia,Australia,South Australia,261102.61
Subtropics,Australia,Australia,Queensland,710559.14
Subtropics,Australia,Australia,New South Wales,1678143.06
Subtropics,Australia,Australia,Australian Capital Territory,72804.83
Temperate,Australia,Australia,Tasmania,84091.32
Temperate,Armenia,Armenia,,405417.24
Subtropics,Argentina,Argentina,,8633763.06
Tropical,Antigua and Barbuda,Antigua and Barbuda,,7171.79
Tropical,Angola,Angola,,97842.70
Temperate,Andorra,Andorra,,38170.11
Subtropics,Algeria,Algeria,,258130.70
Temperate,Albania,Albania,,265263.37
Subtropics,Afghanistan,Afghanistan,,173180.07
