Country Region,Avg. Confirmed Cases,2021 [YR2021]
Afghanistan,173180.07,39835428.0
Albania,265263.37,2811666.0
Algeria,258130.7,44616626.0
Andorra,38170.11,77354.0
Angola,97842.7,33933611.0
Antigua and Barbuda,7171.79,98728.0
Argentina,8633763.06,45808747.0
Armenia,405417.24,2968128.0
Australia,538682.0737500001,25739256.0
Austria,3150845.53,8956279.0
Azerbaijan,751771.88,10145212.0
Bahrain,497537.58,1748295.0
Bangladesh,1885022.16,166303494.0
Barbados,58624.79,287708.0
Belarus,897199.15,9340314.0
Belgium,3582359.26,11587882.0
Belize,54255.09,404915.0
Benin,26649.64,12451031.0
Bhutan,29961.88,779900.0
Bolivia,868506.84,11832936.0
Bosnia and Herzegovina,362427.29,3263459.0
Botswana,277453.18,2397240.0
Brazil,28446414.45,213993441.0
Bulgaria,1067397.63,6899125.0
Burkina Faso,20624.52,21497097.0
Burundi,38566.7,12255429.0
Cabo Verde,55264.81,561901.0
Cambodia,130808.81,16946446.0
Cameroon,117824.86,27224262.0
Canada,212326.096875,38246108.0
Central African Republic,14231.02,4919987.0
Chad,7199.89,16914985.0
Chile,3054138.2,19212362.0
China,32694.620588235295,1412360000.0
Colombia,5968575.89,51265841.0
Comoros,7981.98,888456.0
Costa Rica,792870.19,5139053.0
Cote d'Ivoire,81039.58,27053629.0
Croatia,1037742.91,3899000.0
Cuba,1070937.24,11317498.0
Cyprus,374348.21,1215588.0
Denmark,873916.4966666667,5856733.0
Djibouti,15429.97,1002197.0
Dominica,11206.12,72172.0
Dominican Republic,561406.32,10953714.0
Ecuador,806277.03,17888474.0
El Salvador,150892.53,6518500.0
Equatorial Guinea,15744.62,1449891.0
Estonia,481839.79,1329254.0
Eswatini,69763.7,1172369.0
Ethiopia,466629.49,117876226.0
Fiji,63314.68,902899.0
Finland,774794.99,5541696.0
France,1988882.6283333332,67499343.0
Gabon,47045.38,2278829.0
Georgia,1491945.91,3708610.0
Germany,18132091.5,83129285.0
Ghana,158917.95,31732128.0
Greece,2689512.37,10664568.0
Grenada,13738.88,113015.0
Guatemala,784522.25,17109746.0
Guinea,36205.5,13497237.0
