Country Region,Avg. Confirmed Cases,2021 [YR2021]
Guinea-Bissau,7898.7,2015490.0
Guyana,60876.27,790329.0
Haiti,29913.38,11541683.0
Honduras,410635.25,10062994.0
Hungary,1746267.74,9709886.0
Iceland,138940.29,372295.0
India,41947820.19,1393409033.0
Indonesia,5479388.55,276361788.0
Iraq,2276564.89,41179351.0
Ireland,1355852.33,5028230.0
Israel,3488776.04,9364000.0
Italy,13675515.76,59066225.0
Jamaica,126434.75,2973462.0
Japan,5738685.58,125681593.0
Jordan,1540767.15,10269022.0
Kazakhstan,1347176.43,19002586.0
Kenya,321813.5,54985702.0
Kiribati,2355.64,121388.0
Kosovo,216251.1,1806279.0
Kuwait,593628.23,4328553.0
Latvia,658885.25,1883162.0
Lebanon,1027230.96,6769151.0
Lesotho,32614.07,2159067.0
Liberia,7327.22,5180208.0
Libya,476731.86,6958538.0
Liechtenstein,13628.59,38254.0
Lithuania,905558.55,2795321.0
Luxembourg,197898.96,639070.0
Madagascar,62047.73,28427333.0
Malawi,84815.5,19647681.0
Malaysia,3783133.2,32776195.0
Maldives,161186.94,543620.0
Mali,29974.68,20855724.0
Malta,78709.52,516869.0
Marshall Islands,10.3,59618.0
Mauritania,57565.48,4775110.0
Mauritius,171882.11,1266060.0
Mexico,5379136.58,130262220.0
Moldova,486626.96,2573928.0
Monaco,9961.94,39520.0
Mongolia,880200.27,3329282.0
Montenegro,226512.88,620173.0
Morocco,1140533.61,37344787.0
Mozambique,223181.27,32163045.0
Namibia,158089.12,2587344.0
Nepal,957227.63,29674920.0
Netherlands,1346911.29,17533405.0
New Zealand,262100.38,5122600.0
Nicaragua,14106.94,6702379.0
Niger,8739.21,25130810.0
Nigeria,254181.76,211400704.0
North Macedonia,291991.6,2065092.0
Norway,1177232.11,5408320.0
Oman,370421.99,5223376.0
Pakistan,1483503.61,225199929.0
Palau,3411.54,18174.0
Panama,741916.8,4381583.0
Papua New Guinea,41257.98,9119005.0
Paraguay,616382.91,7219641.0
Peru,3364587.88,33359416.0
Philippines,3579165.39,111046910.0
Poland,5550340.54,37781024.0
Portugal,3463492.04,10299423.0
Qatar,348585.47,2930524.0
Romania,2634882.12,19115146.0
Rwanda,128557.77,13276517.0
Samoa,4175.37,200144.0
San Marino,14549.54,34010.0
Sao Tome and Principe,5811.63,223364.0
Saudi Arabia,723929.18,35340680.0
Senegal,84998.05,17196308.0
Serbia,1858824.9,6844078.0
Seychelles,39229.14,99202.0
Sierra Leone,7635.37,8141343.0
Singapore,868724.88,5453566.0
Slovenia,876732.3,2107007.0
Solomon Islands,9710.66,703995.0
Somalia,26040.28,16359500.0
South Africa,3722258.99,60041996.0
South Sudan,17085.32,11381377.0
Spain,10889159.21,47326687.0
Sri Lanka,643395.14,22156000.0
Sudan,59656.34,44909351.0
Suriname,76061.03,591798.0
Sweden,2308040.69,10415811.0
Switzerland,2988157.34,8697723.0
Tajikistan,17733.44,9749625.0
Tanzania,33575.91,61498438.0
Thailand,3407270.24,69950844.0
Timor-Leste,22057.8,1343875.0
Togo,36525.63,8478242.0
Trinidad and Tobago,132731.62,1403374.0
Tunisia,977552.12,11935764.0
Uganda,162292.67,47123533.0
Ukraine,4784164.58,43814581.0
United Arab Emirates,873831.76,9991083.0
United Kingdom,1413350.947142857,67326569.0
Uruguay,802247.22,3485152.0
Uzbekistan,231317.95,34915100.0
Vanuatu,3483.05,314464.0
Vietnam,6794339.06,98168829.0
West Bank and Gaza,613436.53,4922749.0
Zambia,311495.69,18920657.0
Zimbabwe,240295.55,15092171.0
